CustomerID,Age,AnnualIncome,PurchaseFrequency,AvgOrderValue,TotalSpend,RecencyDays,TenureMonths,DiscountAffinity,NumReturns,SatisfactionScore,Gender,Region,PreferredCategory,PreferredChannel,Segment,SegmentName
CUST00034,21,37090.19,18,8.0,144.0,9,15,0.335,0,2,Male,South,Beauty,Online,1,Young Trend Seekers
CUST00035,26,53733.91,14,35.37,495.24,22,4,0.641,1,5,Other,Central,Fashion,Online,1,Young Trend Seekers
CUST00036,23,25817.44,23,19.12,439.68,1,17,0.596,1,3,Female,West,Fashion,In-Store,1,Young Trend Seekers
CUST00037,45,101672.33,24,91.5,2196.04,16,82,0.23,1,3,Female,West,Fashion,Online,0,High-Value Loyalists
CUST00038,38,50184.06,6,24.61,147.64,18,15,0.821,0,4,Female,Central,Home & Garden,Online,2,Budget Shoppers
CUST00039,35,73315.74,1,56.93,56.93,191,33,0.229,0,2,Male,East,Toys,Online,3,At-Risk / Occasional
CUST00040,46,128740.88,25,205.56,5138.94,15,112,0.231,1,4,Male,Central,Electronics,In-Store,0,High-Value Loyalists
CUST00041,42,34616.91,10,15.79,157.95,55,48,0.727,1,3,Male,Central,Groceries,In-Store,2,Budget Shoppers
CUST00042,62,129167.32,24,171.13,4107.23,5,48,0.312,1,4,Male,East,Fashion,In-Store,0,High-Value Loyalists
CUST00043,39,25201.17,7,37.77,264.38,4,38,0.872,0,3,Male,Central,Groceries,Online,2,Budget Shoppers
CUST00044,24,16778.73,13,38.16,496.12,9,8,0.328,2,3,Male,South,Fashion,Mobile App,1,Young Trend Seekers
CUST00045,42,38885.24,3,35.09,105.27,128,19,0.54,0,2,Female,North,Books,In-Store,3,At-Risk / Occasional
CUST00046,39,34641.52,2,46.34,92.68,248,29,0.378,0,2,Male,Central,Toys,Mobile App,3,At-Risk / Occasional
CUST00047,30,116341.11,23,143.2,3293.59,3,66,0.127,1,3,Male,North,Sports,Mobile App,0,High-Value Loyalists
CUST00048,53,15000.0,3,40.27,120.8,13,40,0.175,0,3,Female,East,Fashion,In-Store,2,Budget Shoppers
CUST00049,38,41895.95,2,32.43,64.86,26,30,0.303,0,2,Male,Central,Groceries,In-Store,3,At-Risk / Occasional
CUST00050,66,45418.81,5,23.85,119.26,21,48,0.578,0,3,Female,West,Groceries,In-Store,2,Budget Shoppers
CUST00051,25,54421.06,18,41.18,741.32,11,12,0.647,3,3,Female,East,Beauty,In-Store,1,Young Trend Seekers
CUST00052,38,31902.81,1,72.12,72.12,154,5,0.601,0,2,Female,North,Groceries,Mobile App,3,At-Risk / Occasional
CUST00053,23,43428.46,18,29.75,535.58,2,23,0.557,1,3,Male,South,Beauty,Online,1,Young Trend Seekers
CUST00054,25,35175.01,10,16.06,160.65,4,24,0.577,0,3,Female,West,Beauty,Mobile App,1,Young Trend Seekers
CUST00055,29,47607.24,2,69.34,138.69,39,47,0.379,0,4,Female,North,Books,Online,2,Budget Shoppers
CUST00056,28,24543.43,9,27.18,244.58,27,19,0.724,0,2,Male,Central,Beauty,Online,2,Budget Shoppers
CUST00057,54,43616.24,9,36.86,331.71,27,28,0.738,0,3,Female,North,Groceries,In-Store,2,Budget Shoppers
CUST00058,54,49962.76,9,27.04,243.37,1,26,0.445,1,3,Female,North,Books,Online,2,Budget Shoppers
CUST00059,53,50092.22,4,28.56,114.24,2,47,0.752,1,4,Female,Central,Groceries,Online,2,Budget Shoppers
CUST00060,30,102801.25,20,197.29,3945.74,8,54,0.119,4,4,Male,East,Electronics,In-Store,0,High-Value Loyalists
CUST00061,56,117222.87,22,135.78,2987.13,3,56,0.139,2,4,Female,North,Electronics,In-Store,0,High-Value Loyalists
CUST00062,41,62504.24,6,24.12,144.72,21,41,0.482,0,3,Female,North,Groceries,In-Store,2,Budget Shoppers
CUST00063,20,41223.94,14,31.78,444.88,18,24,0.408,1,2,Female,Central,Fashion,Mobile App,1,Young Trend Seekers
CUST00064,51,94152.55,12,145.79,1749.54,9,47,0.173,1,3,Female,East,Fashion,In-Store,0,High-Value Loyalists
CUST00065,39,122157.66,19,211.28,4014.38,8,38,0.223,3,5,Female,North,Fashion,In-Store,0,High-Value Loyalists
CUST00066,28,61507.06,1,22.13,22.13,5,21,0.061,0,2,Female,South,Electronics,Mobile App,3,At-Risk / Occasional
CUST00067,45,28634.8,5,36.94,184.72,31,31,0.616,0,2,Male,North,Groceries,In-Store,2,Budget Shoppers
CUST00068,18,52054.95,17,20.16,342.7,2,28,0.329,1,3,Female,West,Electronics,Online,1,Young Trend Seekers
CUST00069,63,37515.59,7,19.08,133.57,3,31,0.435,2,2,Female,Central,Groceries,Online,2,Budget Shoppers
CUST00070,26,33994.17,17,30.71,522.11,7,18,0.656,1,2,Male,South,Fashion,Online,1,Young Trend Seekers
CUST00071,31,73358.64,2,85.67,171.33,24,21,0.434,0,4,Male,Central,Electronics,In-Store,3,At-Risk / Occasional
CUST00072,22,39425.96,7,49.15,344.08,9,7,0.74,0,4,Female,East,Books,In-Store,1,Young Trend Seekers
CUST00073,43,59711.09,4,27.58,110.34,12,54,1.0,0,2,Female,East,Home & Garden,In-Store,2,Budget Shoppers
CUST00074,28,40678.87,20,38.67,773.35,3,14,0.783,1,3,Female,East,Electronics,In-Store,1,Young Trend Seekers
CUST00075,47,58505.25,1,84.14,84.14,115,15,0.245,0,3,Male,West,Groceries,Mobile App,3,At-Risk / Occasional
CUST00076,52,64235.54,1,59.5,59.5,121,29,0.484,0,2,Male,North,Sports,In-Store,3,At-Risk / Occasional
CUST00077,26,58812.71,1,12.19,12.19,6,1,0.242,0,2,Male,South,Beauty,Online,3,At-Risk / Occasional
CUST00078,52,49136.4,4,35.85,143.4,8,48,0.658,0,4,Female,East,Groceries,Online,2,Budget Shoppers
CUST00079,43,129052.55,18,123.74,2227.35,11,32,0.26,0,3,Female,West,Sports,In-Store,0,High-Value Loyalists
CUST00080,34,49039.64,8,22.44,179.54,34,23,0.606,0,3,Male,South,Groceries,In-Store,2,Budget Shoppers
CUST00081,24,25364.42,21,9.45,198.35,41,2,0.4,2,4,Male,West,Fashion,Mobile App,1,Young Trend Seekers
CUST00082,52,77250.35,5,57.32,286.58,5,41,0.482,0,3,Male,East,Beauty,In-Store,2,Budget Shoppers
CUST00083,27,76670.05,21,124.13,2606.8,8,69,0.304,1,4,Male,Central,Electronics,Online,0,High-Value Loyalists
CUST00084,49,38940.77,3,36.02,108.05,53,37,0.561,0,3,Female,South,Home & Garden,Online,2,Budget Shoppers
CUST00085,39,60000.0,21,136.91,2875.01,4,60,0.202,1,4,Female,West,Fashion,Online,0,High-Value Loyalists
CUST00086,34,107715.08,20,129.56,2591.24,3,34,0.324,1,3,Male,West,Electronics,Online,0,High-Value Loyalists
CUST00087,40,55915.98,1,48.47,48.47,136,24,0.0,0,2,Male,Central,Beauty,Online,3,At-Risk / Occasional
CUST00088,63,53063.94,1,55.74,55.74,7,20,0.148,0,2,Male,North,Beauty,In-Store,3,At-Risk / Occasional
CUST00089,19,40958.06,20,50.97,1019.33,4,3,0.678,2,3,Female,North,Fashion,Mobile App,1,Young Trend Seekers
CUST00090,41,120460.27,18,72.44,1303.88,11,45,0.246,0,4,Male,South,Sports,In-Store,0,High-Value Loyalists
CUST00091,75,27989.13,9,27.76,249.88,18,64,0.705,0,4,Female,South,Groceries,In-Store,2,Budget Shoppers
CUST00092,40,55744.82,3,45.53,136.6,340,30,0.272,0,3,Male,West,Toys,Online,3,At-Risk / Occasional
CUST00093,23,63503.31,3,19.99,59.98,34,30,0.494,0,3,Female,East,Home & Garden,Online,3,At-Risk / Occasional
CUST00094,26,61101.89,1,18.12,18.12,126,1,0.027,0,3,Other,Central,Fashion,In-Store,3,At-Risk / Occasional
CUST00095,19,68153.75,2,14.47,28.95,5,20,0.319,0,3,Female,East,Sports,In-Store,3,At-Risk / Occasional
CUST00096,51,95528.58,16,196.81,3148.96,13,49,0.211,0,5,Female,East,Electronics,In-Store,0,High-Value Loyalists
CUST00097,18,79932.68,2,31.94,63.88,156,41,0.0,0,4,Female,Central,Sports,Online,3,At-Risk / Occasional
CUST00098,48,60000.0,18,98.8,1778.45,1,45,0.268,1,3,Male,South,Fashion,Online,0,High-Value Loyalists
CUST00099,58,47216.79,9,42.42,381.76,6,35,0.763,2,4,Female,North,Books,In-Store,2,Budget Shoppers
CUST00100,36,44971.5,7,24.66,172.6,1,44,0.796,1,2,Female,North,Groceries,In-Store,2,Budget Shoppers
CUST00101,47,48018.67,5,15.86,79.29,42,24,0.729,0,4,Female,North,Books,In-Store,2,Budget Shoppers
CUST00102,44,49546.8,3,45.13,135.39,6,44,0.485,0,3,Male,East,Fashion,In-Store,2,Budget Shoppers
CUST00103,38,96549.75,17,135.51,2303.67,16,74,0.057,1,4,Female,North,Electronics,In-Store,0,High-Value Loyalists
CUST00104,35,45130.83,4,75.41,301.63,9,11,0.207,2,2,Male,South,Fashion,In-Store,3,At-Risk / Occasional
CUST00105,24,26728.08,12,33.16,397.86,1,1,0.628,0,5,Male,South,Beauty,Mobile App,1,Young Trend Seekers
CUST00106,33,45104.07,5,44.37,221.83,42,41,0.851,0,2,Male,North,Groceries,In-Store,2,Budget Shoppers
CUST00107,40,84860.41,24,163.91,3933.82,3,85,0.214,4,4,Male,North,Electronics,In-Store,0,High-Value Loyalists
CUST00108,54,48986.61,1,44.53,44.53,8,16,0.463,0,3,Male,West,Beauty,In-Store,2,Budget Shoppers
CUST00109,48,41219.2,5,30.87,154.37,1,38,0.582,1,3,Female,East,Groceries,In-Store,2,Budget Shoppers
CUST00110,67,50973.84,9,29.23,263.11,2,55,0.802,2,3,Male,North,Home & Garden,Mobile App,2,Budget Shoppers
CUST00111,37,132252.34,28,139.91,3917.57,6,85,0.238,1,4,Male,East,Fashion,In-Store,0,High-Value Loyalists
CUST00112,28,56635.29,3,33.9,101.69,4,27,0.923,0,3,Male,East,Books,Mobile App,2,Budget Shoppers
CUST00113,22,30653.16,14,67.39,943.45,6,26,0.76,1,3,Female,Central,Beauty,Online,1,Young Trend Seekers
CUST00114,26,38108.46,21,44.78,940.35,10,1,0.623,0,3,Male,East,Beauty,In-Store,1,Young Trend Seekers
CUST00115,32,21948.86,2,10.0,20.0,121,12,0.42,0,3,Male,North,Beauty,Online,3,At-Risk / Occasional
CUST00116,26,42184.29,10,20.32,203.25,3,16,0.37,3,3,Female,West,Fashion,Mobile App,1,Young Trend Seekers
CUST00117,29,31962.13,21,49.88,1047.42,3,8,0.656,2,2,Female,Central,Beauty,Mobile App,1,Young Trend Seekers
CUST00118,46,48519.69,11,25.9,284.9,43,35,0.752,2,4,Male,Central,Home & Garden,Mobile App,2,Budget Shoppers
CUST00119,18,35757.56,20,36.0,720.09,32,11,0.39,1,3,Male,East,Fashion,Online,1,Young Trend Seekers
CUST00120,37,44411.74,1,48.09,48.09,360,41,0.557,0,1,Female,Central,Groceries,In-Store,3,At-Risk / Occasional
CUST00121,21,23724.0,14,24.74,346.4,19,1,0.808,1,4,Female,North,Fashion,In-Store,1,Young Trend Seekers
CUST00122,24,31051.37,15,8.0,120.0,16,17,0.684,0,3,Male,West,Fashion,In-Store,1,Young Trend Seekers
CUST00123,48,75675.84,21,145.49,3055.31,11,83,0.125,2,3,Female,East,Fashion,Online,0,High-Value Loyalists
CUST00124,59,49744.1,7,45.5,318.53,48,37,0.724,1,2,Female,Central,Books,In-Store,2,Budget Shoppers
CUST00125,46,53774.84,7,35.48,248.38,60,26,0.847,1,3,Female,East,Home & Garden,In-Store,2,Budget Shoppers
CUST00126,60,90537.69,15,163.68,2455.19,27,77,0.445,1,3,Female,East,Electronics,Online,0,High-Value Loyalists
CUST00127,25,55176.4,14,39.46,552.51,21,27,0.764,0,5,Male,South,Beauty,In-Store,1,Young Trend Seekers
CUST00128,29,47589.06,18,51.82,932.73,30,32,0.253,4,2,Male,Central,Beauty,Mobile App,1,Young Trend Seekers
CUST00129,61,46943.84,6,43.7,262.2,41,30,0.503,0,4,Male,West,Groceries,In-Store,2,Budget Shoppers
CUST00130,39,45382.37,2,41.42,82.83,54,1,0.518,0,3,Female,Central,Beauty,Online,3,At-Risk / Occasional
CUST00131,45,100910.58,23,121.37,2791.46,1,56,0.119,3,4,Male,East,Fashion,Online,0,High-Value Loyalists
CUST00132,46,43906.91,8,23.87,190.95,129,27,0.751,0,3,Female,East,Books,In-Store,2,Budget Shoppers
CUST00133,46,30549.35,3,30.67,92.01,6,30,0.638,0,3,Female,West,Home & Garden,Mobile App,2,Budget Shoppers
CUST00134,28,84937.76,38,147.97,5622.93,1,65,0.285,1,5,Female,South,Electronics,In-Store,0,High-Value Loyalists
CUST00135,18,47376.35,16,9.37,149.93,25,10,0.527,2,3,Male,South,Beauty,Mobile App,1,Young Trend Seekers
CUST00136,37,121117.8,22,92.63,2037.76,5,50,0.195,1,5,Male,North,Fashion,Mobile App,0,High-Value Loyalists
CUST00137,30,19642.73,1,50.24,50.24,77,1,0.844,0,3,Other,North,Beauty,In-Store,2,Budget Shoppers
CUST00138,41,51044.49,3,76.22,228.66,41,56,0.261,0,3,Female,East,Fashion,Online,3,At-Risk / Occasional
CUST00139,25,121708.68,18,241.18,4341.29,11,72,0.335,1,5,Female,North,Electronics,Online,0,High-Value Loyalists
CUST00140,21,34859.54,16,24.13,386.01,35,6,0.102,1,2,Female,South,Beauty,Mobile App,1,Young Trend Seekers
CUST00141,25,40024.48,14,56.28,787.96,21,11,0.576,1,3,Male,West,Fashion,Mobile App,1,Young Trend Seekers
CUST00142,22,57522.27,3,23.44,70.32,32,34,0.578,0,3,Male,East,Groceries,In-Store,2,Budget Shoppers
CUST00143,34,120158.44,24,132.98,3191.46,1,73,0.353,1,4,Female,North,Electronics,Online,0,High-Value Loyalists
CUST00144,43,96976.72,23,115.64,2659.83,7,41,0.216,0,5,Male,West,Electronics,Mobile App,0,High-Value Loyalists
CUST00145,51,125767.55,19,135.66,2577.47,2,44,0.3,0,4,Female,South,Sports,Mobile App,0,High-Value Loyalists
CUST00146,34,44685.53,12,20.41,244.9,18,56,0.659,3,4,Female,North,Home & Garden,In-Store,1,Young Trend Seekers
CUST00147,53,60240.6,2,51.97,103.93,269,6,0.483,0,2,Female,North,Electronics,Online,3,At-Risk / Occasional
CUST00148,38,50382.08,1,46.34,46.34,108,39,0.679,0,1,Female,East,Beauty,Mobile App,3,At-Risk / Occasional
CUST00149,34,63705.09,3,40.13,120.39,1,39,0.764,0,5,Female,East,Groceries,In-Store,2,Budget Shoppers
CUST00150,42,28268.38,4,15.96,63.84,159,31,0.539,1,3,Male,North,Home & Garden,Online,3,At-Risk / Occasional
CUST00151,22,43041.42,14,16.52,231.32,2,16,0.849,1,4,Female,East,Beauty,Online,1,Young Trend Seekers
CUST00152,46,35170.33,9,28.61,257.47,51,5,0.711,1,3,Female,East,Home & Garden,In-Store,2,Budget Shoppers
CUST00153,53,52775.22,4,37.26,149.04,2,49,0.52,0,3,Male,West,Groceries,In-Store,2,Budget Shoppers
CUST00154,43,125363.14,18,154.14,2774.55,21,54,0.223,0,4,Female,South,Fashion,Online,0,High-Value Loyalists
CUST00155,22,54189.52,15,35.05,525.77,10,10,0.236,1,3,Female,South,Beauty,Mobile App,1,Young Trend Seekers
CUST00156,46,45776.49,9,41.2,370.76,40,46,0.767,0,2,Female,North,Groceries,Online,2,Budget Shoppers
CUST00157,60,46432.21,1,28.19,28.19,5,15,0.61,0,4,Female,East,Fashion,Online,2,Budget Shoppers
CUST00158,45,48555.47,2,46.67,93.34,44,10,0.415,0,2,Male,East,Groceries,Online,3,At-Risk / Occasional
CUST00159,27,55454.44,8,37.68,301.46,57,25,0.594,0,3,Male,West,Books,In-Store,3,At-Risk / Occasional
CUST00160,48,41049.38,1,10.0,10.0,36,13,0.535,0,1,Female,Central,Home & Garden,Mobile App,3,At-Risk / Occasional
CUST00161,40,101606.64,19,207.92,3950.55,1,42,0.19,1,4,Female,Central,Fashion,Online,0,High-Value Loyalists
CUST00162,26,48398.83,1,62.25,62.25,140,26,0.429,0,2,Female,West,Fashion,In-Store,3,At-Risk / Occasional
CUST00163,41,15000.0,1,35.73,35.73,129,1,0.853,0,3,Female,South,Books,In-Store,2,Budget Shoppers
CUST00164,61,74906.29,2,11.6,23.2,12,10,0.443,1,2,Male,North,Books,Mobile App,2,Budget Shoppers
CUST00165,36,35907.04,4,24.38,97.5,39,43,0.95,1,4,Male,West,Home & Garden,Online,2,Budget Shoppers
CUST00166,26,25552.81,12,22.3,267.62,1,21,0.607,0,3,Female,North,Electronics,Mobile App,1,Young Trend Seekers
CUST00167,26,138871.33,16,187.81,3004.94,14,69,0.353,2,4,Male,East,Fashion,In-Store,0,High-Value Loyalists
CUST00168,63,38227.54,2,33.73,67.47,64,1,0.74,0,3,Female,West,Books,Mobile App,2,Budget Shoppers
CUST00169,28,49867.59,7,26.7,186.88,1,14,0.795,0,3,Female,West,Books,Mobile App,2,Budget Shoppers
CUST00170,18,54794.97,3,56.68,170.04,14,1,0.425,0,3,Male,South,Books,In-Store,1,Young Trend Seekers
CUST00171,33,51189.99,1,73.37,73.37,186,1,0.288,0,3,Female,South,Books,In-Store,3,At-Risk / Occasional
CUST00172,38,38408.11,10,44.69,446.88,66,14,0.656,0,3,Female,South,Books,Online,2,Budget Shoppers
CUST00173,48,76640.3,3,43.52,130.55,242,17,0.049,1,3,Female,North,Groceries,In-Store,3,At-Risk / Occasional
CUST00174,52,53578.53,7,25.01,175.05,50,27,0.546,0,4,Female,North,Home & Garden,In-Store,2,Budget Shoppers
CUST00175,50,17076.69,3,42.18,126.53,7,44,0.204,0,3,Female,Central,Groceries,Mobile App,2,Budget Shoppers
CUST00176,66,55333.64,6,23.44,140.66,26,18,0.574,0,3,Female,West,Home & Garden,Online,2,Budget Shoppers
CUST00177,70,76429.87,4,47.48,189.91,214,5,0.085,0,2,Male,East,Toys,In-Store,3,At-Risk / Occasional
CUST00178,47,134782.26,27,230.86,6233.17,14,51,0.129,1,5,Female,South,Sports,Mobile App,0,High-Value Loyalists
CUST00179,30,19047.02,20,36.78,735.69,14,9,0.718,1,3,Female,East,Fashion,Online,1,Young Trend Seekers
CUST00180,32,55763.67,4,23.14,92.56,60,28,0.749,0,4,Male,South,Groceries,Mobile App,2,Budget Shoppers
CUST00181,46,131924.52,21,230.9,4848.85,1,77,0.31,2,5,Female,Central,Electronics,Mobile App,0,High-Value Loyalists
CUST00182,56,31730.92,3,24.18,72.54,1,11,0.743,0,1,Female,South,Groceries,Online,2,Budget Shoppers
CUST00183,30,60767.46,21,34.1,716.17,15,1,0.452,2,4,Female,North,Fashion,Mobile App,1,Young Trend Seekers
CUST00184,20,43991.12,19,43.64,829.2,2,1,0.518,0,3,Female,West,Beauty,Mobile App,1,Young Trend Seekers
CUST00185,48,46417.46,4,17.91,71.63,31,37,0.651,1,3,Female,North,Home & Garden,In-Store,2,Budget Shoppers
CUST00186,55,34908.44,5,32.91,164.53,118,34,0.478,1,1,Male,North,Beauty,Mobile App,3,At-Risk / Occasional
CUST00187,21,62932.13,18,23.99,431.86,15,15,0.204,1,5,Female,East,Fashion,Mobile App,1,Young Trend Seekers
CUST00188,18,36076.42,2,96.4,192.8,76,1,0.536,0,2,Female,South,Toys,Online,3,At-Risk / Occasional
CUST00189,55,40242.42,1,23.04,23.04,52,20,0.518,0,3,Male,North,Beauty,Online,2,Budget Shoppers
CUST00190,58,40441.62,3,29.65,88.94,2,14,0.567,1,3,Male,North,Groceries,Online,2,Budget Shoppers
CUST00191,59,43663.29,8,21.48,171.82,28,14,0.467,1,4,Female,South,Home & Garden,In-Store,2,Budget Shoppers
CUST00192,22,38496.42,14,43.98,615.74,5,10,0.344,1,3,Male,Central,Fashion,In-Store,1,Young Trend Seekers
CUST00193,29,51757.29,19,36.03,684.64,4,11,0.455,3,3,Male,West,Electronics,In-Store,1,Young Trend Seekers
CUST00194,38,44591.2,4,14.19,56.77,195,1,0.366,1,3,Female,North,Beauty,Online,3,At-Risk / Occasional
CUST00195,61,84043.56,25,125.01,3125.2,3,50,0.076,3,5,Male,North,Electronics,In-Store,0,High-Value Loyalists
CUST00196,26,81860.43,13,128.32,1668.16,3,50,0.226,0,4,Male,East,Electronics,Mobile App,0,High-Value Loyalists
CUST00197,31,70894.83,1,22.21,22.21,25,32,0.322,0,3,Male,East,Home & Garden,Mobile App,3,At-Risk / Occasional
CUST00198,28,47305.08,14,36.82,515.52,20,6,0.321,0,4,Female,East,Electronics,Mobile App,1,Young Trend Seekers
CUST00199,26,49740.44,18,11.13,200.29,9,21,0.397,0,2,Male,North,Beauty,Online,1,Young Trend Seekers
CUST00200,18,71159.64,1,63.19,63.19,23,13,0.593,0,4,Female,Central,Sports,Online,1,Young Trend Seekers
CUST00201,44,55710.05,1,50.62,50.62,52,1,0.403,0,3,Female,East,Sports,Online,3,At-Risk / Occasional
CUST00202,59,57328.55,8,28.67,229.4,13,54,0.819,0,3,Female,North,Groceries,In-Store,2,Budget Shoppers
CUST00203,53,48116.18,2,30.57,61.15,19,32,0.705,0,2,Female,North,Groceries,In-Store,2,Budget Shoppers
CUST00204,29,32621.3,14,33.24,465.38,29,34,0.508,0,4,Female,South,Electronics,Mobile App,1,Young Trend Seekers
CUST00205,43,59428.29,2,67.78,135.56,35,21,0.132,0,3,Male,West,Groceries,In-Store,3,At-Risk / Occasional
CUST00206,23,41225.37,3,19.66,58.98,6,12,0.642,0,3,Female,West,Home & Garden,Online,1,Young Trend Seekers
CUST00207,68,40481.5,4,28.07,112.3,1,48,0.713,0,5,Male,East,Books,In-Store,2,Budget Shoppers
CUST00208,56,51385.69,3,71.28,213.85,22,12,0.264,0,2,Female,West,Home & Garden,Online,3,At-Risk / Occasional
CUST00209,43,44423.65,6,30.23,181.39,57,42,0.67,0,3,Male,South,Groceries,Online,2,Budget Shoppers
CUST00210,42,52635.85,3,37.47,112.4,41,55,0.864,0,3,Female,South,Groceries,In-Store,2,Budget Shoppers
CUST00211,18,64243.88,1,47.62,47.62,172,6,0.232,0,4,Female,Central,Sports,In-Store,3,At-Risk / Occasional
CUST00212,18,59541.72,2,34.25,68.49,10,39,0.775,0,4,Male,Central,Fashion,In-Store,2,Budget Shoppers
CUST00213,24,74247.03,1,45.01,45.01,78,16,0.275,0,3,Female,West,Sports,Online,3,At-Risk / Occasional
CUST00214,46,49083.28,10,24.86,248.56,55,45,0.724,1,3,Male,Central,Home & Garden,In-Store,2,Budget Shoppers
CUST00215,58,22377.98,3,38.18,114.54,81,15,0.306,0,3,Female,West,Beauty,In-Store,3,At-Risk / Occasional
CUST00216,62,46089.27,8,27.76,222.05,14,28,0.549,1,3,Male,East,Home & Garden,In-Store,2,Budget Shoppers
CUST00217,39,126886.8,22,154.47,3398.37,3,81,0.224,3,3,Female,Central,Fashion,Online,0,High-Value Loyalists
CUST00218,33,61467.45,1,51.29,51.29,90,53,0.284,0,2,Male,North,Sports,In-Store,3,At-Risk / Occasional
CUST00219,27,89027.93,4,37.66,150.63,68,7,0.803,2,4,Male,Central,Sports,In-Store,1,Young Trend Seekers
CUST00220,25,40298.93,19,38.82,737.53,14,3,0.5,3,5,Female,Central,Beauty,Mobile App,1,Young Trend Seekers
CUST00221,50,41697.66,3,37.97,113.9,6,25,0.351,0,3,Female,Central,Electronics,In-Store,2,Budget Shoppers
CUST00222,62,61491.66,1,45.36,45.36,85,28,0.38,0,2,Male,West,Home & Garden,Online,3,At-Risk / Occasional
